link;description;street;rooms;m2;floor;house_type;price
https://ss.lv/msg/lv/real-estate/flats/riga/teika/ciobj.html;Сдаёт хозяин на длительный срок квартиру в отличном состоянии, п;Teika::Caunes 17;2;38;2/5;Hrušč.;410  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/mezhciems/ajicf.html;Īpašnieks piedāvā pārdošanai trīs istabu dzīvokli ciematā “Jaunb;Mežciems::Kaivas 29/4;3;80;3/4;Jaun.;168,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/vecriga/aijeo.html;Izīrē dzīvokli klusā vietā, Vecrīgā, Vaļņu ielā 10. Omulīgs dzīv;Vecrīga::Vaļņu 10;2;48;5/5;P. kara;vēlosīret 
https://ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bxlegf.html;Īpašnieks pārdod siltu un saulainu 2-istabu dzīvokli Vemilgrāvī.;Vecmīlgrāvis::Vecmīlgrāvja 5;2;43;3/5;Hrušč.;32,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/mezhapark/dhhne.html;Сдаётся уютная двух комнатная квартира , теплая, светлая, солнеч;Mežaparks::Viestura pr. 1;2;48;1/3;Specpr.;400  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/cpkxd.html;Продаю oсвобожденную 1-комнатную квартиру с ремонтом. Дом спецпр;Krasta r-ns::Kojusalas 17;1;35;11/12;Specpr.;40,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/enokx.html;"Все удобства, душ и туалет – внутри. 

+ Благоустроенная кварт";Jugla::Brīvības 397;1;35;1/5;Hrušč.;165  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/aedif.html;Omulīgs un kluss dzīvoklis blakus viesnīcai Radisson Daugava īrē;Klīversala::St. Rusas 5;2;48;3/5;Specpr.;vēlosīret 
https://ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ggnfp.html;Īpašnieks pārdot 1 istabu dzīvokli, nav stūra dzīvoklis. Dzīvokl;Vecmīlgrāvis::Baltāsbaznīcas 34;1;33;5/5;103.;34,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/amnbn.html;Собственник продает светлую и очень теплую 2-х комнатную квартир;Daugavgrīva::Parādes 14;2;55;2/5;103.;54,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/hpfxj.html;Pārdošanā labs trīs istabu dzīvoklis ķengaragā labā vietā pie t/;Ķengarags::Aviācijas 1;3;72;3/5;LT proj.;58,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/comip.html;"Pārdodam lielisku dzīvokli Ziepniekkalnā. 
Dzīvoklim ir ļoti la";Ziepniekkalns::Zaļenieku 18;3;168;5/6;Jaun.;215,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/diemo.html;Tiek izirēts pilnibā mēbelēts un aprīkots 2-istabas dzīvoklis Ju;Jugla::Tirzas 3;2;40;3/5;Hrušč.;310  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/centre/agino.html;Izīrē pilnībā labiekārtotu vienistabas dzīvokli renovētā pirmska;centrs::Barona 129;1;25;3/6;Renov.;350  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/mezhciems/fihle.html;"Pieejams uzreiz, 
- lifts pirmajā stāvā uzreiz pie ieejas durvī";Mežciems::Eizenšteina 79;2;51;3/9;602.;50,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/ahkle.html;"Pārdod gaišu, siltu un mājīgu dzīvokli ar svaigu remontu. 
Dzīv";centrs::Katrīnas d. 16a;2;38;5/5;Hrušč.;80,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/imanta/aiemk.html;Vēlos īrēt ilgtermiņā 2+ gadi mēbelētu dzīvokli, nav obligāti Im;Imanta::;3;-;-;-;vēlosīret 
https://ss.lv/msg/lv/real-estate/flats/riga/kipsala/hjmop.html;"Vienistabas dzīvoklis ar garāžu un zemes domājamo daļu. 
Dzīvok";Ķīpsala::Zvejnieku 3;1;27;2/2;P. kara;90,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/mangali/dxfmd.html;Plašs, ģimenes dzīvoklis ar labu remontu, labā rajonā, blakus Me;Mangaļi::Lēdurgas 9;3;61;5/5;Hrušč.;65,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/ckgfh.html;Pārdodam 2 istabu dzīvokli mierpilnā rajonā – Torņakalns. Rajons;Torņakalns::Jelgavas 63;2;58;1/5;Jaun.;97,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/agphb.html;Сдается 2 комнатная квартира со всеми удобствами на длительный с;Ķengarags::Maskavas 252;2;52;3/5;LT proj.;300  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/imanta/belgf.html;Хозяин сдает на длительный срок уютную, теплую, солнечную одноко;Imanta::Jūrmalas g. 91;1;28;1/5;LT proj.;280  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/ckpkn.html;Juglas centrā, gatavots remontam. bez balkona. zaļumu ieskautā m;Jugla::s 5;1;31;2/5;LT proj.;29,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/bcxdx.html;"Nopirkšu dzīvokli Rīgā - 

- var būt bez remonta, 
- ar daļēj";Ķengarags::;Citi;-;1/9;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/elbco.html;Īpašnieks pārdod dzīvokli studija tipa tuvu upei un centrām. Krā;Maskavas priekšpilsēta::Toma 2;1;11;2/2;Specpr.;9,440  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/cielk.html;Mājīgs, plašs un saulains 2-istabu , kuru ir iespējams pārveidot;centrs::Tomsona 30;2;80;4/9;Jaun.;159,999  €
https://ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/edxfg.html;Izīrē kapitāli remontētu vienistabas(studija) dzīvokli ar visām ;Ziepniekkalns::Ozolciema 14;1;54;1/9;Jaun.;500  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/figjp.html;"Всего в пару минутах ходьбы от т. ц""Akropolis"" продается 2-комна";Ķengarags::Maskavas 279 к. 2;2;44;1/5;LT proj.;39,800  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/dxkkf.html;Tīrs un sakopts dzīvoklis, kurā nav nepieciešami ieguldījumi. Ti;Ķengarags::Maskavas 254 k-2;2;44;4/5;Hrušč.;52,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dkblg.html;Tiek izīrēts plašs , gaišs ( 60 km2 ) divistabu dzīvoklis. ( 119;Ziepniekkalns::Īslīces 1;2;60;9/10;119.;400  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/deepm.html;Pašā Āgenskalna sirdī. Vairāk bildes pēc pieprasījuma. Normāla t;Āgenskalns::Lapu 3b;2;33;2/3;P. kara;33,480  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/bijibh.html;Nopirkšu dzivokli Rigā. Var būt arī ar neapmaksātiem komunāliem ;Ķengarags::;Citi;-;-;-;pērku 
